image_name,accuracy,processing_time
245.json,25.0,22.40208
246.json,25.0,28.90119
247.json,25.0,15.73056
248.json,50.0,21.29924
249.json,50.0,21.09668
250.json,75.0,27.7408
251.json,50.0,28.66958
252.json,50.0,23.07691
253.json,25.0,18.58555
254.json,25.0,28.11401
255.json,25.0,26.8822
256.json,25.0,25.70785
257.json,25.0,29.52391
258.json,50.0,29.51436
259.json,50.0,22.51686
260.json,50.0,18.46809
261.json,25.0,21.72752
262.json,25.0,27.48566
263.json,25.0,22.69718
264.json,25.0,27.39912
265.json,25.0,29.47254
266.json,50.0,19.40987
267.json,25.0,20.44606
268.json,25.0,28.56482
269.json,25.0,24.62734
270.json,50.0,18.68321
271.json,25.0,15.26279
272.json,25.0,16.98984
273.json,25.0,29.48107
274.json,25.0,18.6035
275.json,25.0,26.93469
276.json,25.0,26.58051
277.json,25.0,27.7196
278.json,25.0,17.21537
279.json,25.0,15.29163
280.json,50.0,29.13054
281.json,25.0,23.34261
282.json,25.0,19.63599
283.json,50.0,24.70502
284.json,50.0,21.37219
285.json,25.0,23.14531
286.json,25.0,21.53718
287.json,50.0,29.97961
288.json,25.0,19.27471
289.json,25.0,25.63025
290.json,25.0,20.90525
291.json,50.0,21.6201
292.json,25.0,26.5508
293.json,25.0,15.09268
294.json,25.0,23.77309
295.json,25.0,24.19852
296.json,25.0,21.41941
297.json,25.0,16.28569
298.json,25.0,17.00328
299.json,25.0,29.0919
300.json,25.0,19.27442
301.json,25.0,25.54929
302.json,50.0,20.81465
303.json,25.0,22.11414
304.json,25.0,25.8713
305.json,25.0,22.59725
306.json,50.0,21.04418
307.json,25.0,26.31535
308.json,25.0,27.20226
309.json,25.0,21.99096
310.json,25.0,17.85251
311.json,25.0,21.18138
312.json,25.0,19.99398
313.json,25.0,26.11001
314.json,25.0,24.14827
315.json,25.0,23.07014
316.json,25.0,23.71883
317.json,25.0,17.70862
318.json,50.0,25.22851
319.json,25.0,18.79616
320.json,75.0,16.97623
321.json,25.0,18.20943
322.json,25.0,17.34162
323.json,50.0,26.04163
324.json,50.0,22.64761
325.json,25.0,20.08375
326.json,25.0,27.48208
327.json,25.0,29.2337
328.json,50.0,22.67932
329.json,75.0,15.14834
330.json,50.0,26.69833
331.json,50.0,19.30518
332.json,25.0,20.10213
333.json,75.0,21.69141
334.json,50.0,27.99334
335.json,50.0,26.12823
336.json,50.0,25.58979
337.json,50.0,29.13005
338.json,25.0,16.5099
339.json,50.0,27.69953
340.json,50.0,28.13759
341.json,50.0,21.52878
342.json,50.0,29.25977
343.json,50.0,28.49739
344.json,50.0,21.96151
345.json,50.0,24.79384
346.json,25.0,16.3608
347.json,50.0,22.96731
348.json,75.0,25.81833
349.json,50.0,22.81564
350.json,50.0,29.05501
351.json,50.0,24.64195
352.json,50.0,28.53244
353.json,50.0,26.74079
354.json,50.0,15.78275
355.json,50.0,21.17696
356.json,50.0,24.94557
357.json,75.0,18.8618
358.json,50.0,16.05524
359.json,50.0,21.96553
360.json,50.0,20.21034
361.json,25.0,29.04692
362.json,50.0,29.35205
363.json,50.0,27.5841
364.json,50.0,25.81517
365.json,50.0,21.26307
366.json,50.0,23.5103
367.json,50.0,17.7701
368.json,50.0,27.67354
369.json,50.0,19.64958
370.json,25.0,15.80862
371.json,50.0,20.57514
372.json,50.0,16.97004
373.json,50.0,17.74148
374.json,50.0,22.03476
375.json,50.0,27.57841
376.json,25.0,24.97933
377.json,25.0,26.59359
378.json,50.0,25.95349
379.json,25.0,22.36503
380.json,25.0,21.05746
381.json,50.0,18.3335
382.json,25.0,20.33134
383.json,25.0,15.59036
384.json,25.0,16.51993
385.json,25.0,18.36073
386.json,50.0,17.824
387.json,25.0,18.90486
388.json,25.0,27.752
389.json,25.0,25.96721
390.json,25.0,23.49075
391.json,25.0,27.4212
392.json,25.0,18.43282
393.json,75.0,28.54838
394.json,25.0,27.54934
395.json,50.0,26.53035
396.json,25.0,27.24279
397.json,25.0,19.90429
398.json,25.0,27.01594
399.json,50.0,20.50122
400.json,50.0,29.7713
